yearn-finance,,,,
Date, Full Time, Part Time, One Time, Total
25.01.2020,0,0,1,1
26.01.2020,0,1,0,1
27.01.2020,0,1,1,2
28.01.2020,0,1,1,2
29.01.2020,0,2,0,2
30.01.2020,0,2,1,3
31.01.2020,0,2,1,3
01.02.2020,0,2,1,3
02.02.2020,0,2,1,3
03.02.2020,0,2,1,3
04.02.2020,0,2,1,3
05.02.2020,0,2,1,3
06.02.2020,0,2,2,4
07.02.2020,0,3,1,4
08.02.2020,0,3,1,4
09.02.2020,0,3,1,4
10.02.2020,0,3,1,4
11.02.2020,0,3,1,4
12.02.2020,0,4,0,4
13.02.2020,0,4,1,5
14.02.2020,0,4,1,5
15.02.2020,0,5,0,5
16.02.2020,0,5,0,5
17.02.2020,0,5,0,5
18.02.2020,0,5,0,5
19.02.2020,0,5,0,5
20.02.2020,0,5,0,5
21.02.2020,0,5,0,5
22.02.2020,0,5,0,5
23.02.2020,1,4,0,5
24.02.2020,1,4,0,5
25.02.2020,1,4,0,5
26.02.2020,2,3,0,5
27.02.2020,2,3,0,5
28.02.2020,2,3,0,5
29.02.2020,2,3,0,5
01.03.2020,2,3,0,5
02.03.2020,2,3,0,5
03.03.2020,2,3,0,5
04.03.2020,2,3,0,5
05.03.2020,2,3,0,5
06.03.2020,2,2,0,4
07.03.2020,2,2,0,4
08.03.2020,2,2,0,4
09.03.2020,2,2,0,4
10.03.2020,2,2,0,4
11.03.2020,2,2,0,4
12.03.2020,2,2,0,4
13.03.2020,2,2,0,4
14.03.2020,2,1,0,3
15.03.2020,2,1,0,3
16.03.2020,2,0,0,2
17.03.2020,2,0,0,2
18.03.2020,2,0,0,2
19.03.2020,2,0,0,2
20.03.2020,2,0,0,2
21.03.2020,2,0,0,2
22.03.2020,2,0,0,2
23.03.2020,2,0,0,2
24.03.2020,2,0,0,2
25.03.2020,2,0,0,2
26.03.2020,2,0,0,2
27.03.2020,2,0,0,2
28.03.2020,2,0,0,2
29.03.2020,2,0,0,2
30.03.2020,2,0,0,2
31.03.2020,2,0,0,2
01.04.2020,2,0,0,2
02.04.2020,2,0,0,2
03.04.2020,2,0,0,2
04.04.2020,2,0,0,2
05.04.2020,2,0,0,2
06.04.2020,2,0,0,2
07.04.2020,2,0,0,2
08.04.2020,2,0,0,2
09.04.2020,2,0,0,2
10.04.2020,2,0,0,2
11.04.2020,2,0,0,2
12.04.2020,2,0,0,2
13.04.2020,2,0,0,2
14.04.2020,2,0,0,2
15.04.2020,2,0,0,2
16.04.2020,2,0,0,2
17.04.2020,2,0,0,2
18.04.2020,2,0,0,2
19.04.2020,2,0,0,2
20.04.2020,2,0,0,2
21.04.2020,2,0,0,2
22.04.2020,2,0,0,2
23.04.2020,2,0,0,2
02.07.2020,0,0,1,1
03.07.2020,0,1,0,1
04.07.2020,0,1,0,1
05.07.2020,0,1,0,1
06.07.2020,0,1,0,1
07.07.2020,0,1,0,1
08.07.2020,0,1,0,1
09.07.2020,0,1,0,1
10.07.2020,0,1,0,1
11.07.2020,0,1,0,1
12.07.2020,0,1,0,1
13.07.2020,0,1,0,1
14.07.2020,0,1,0,1
15.07.2020,0,1,0,1
16.07.2020,0,1,0,1
17.07.2020,0,1,0,1
18.07.2020,0,1,1,2
19.07.2020,0,1,2,3
20.07.2020,0,1,2,3
21.07.2020,0,1,2,3
22.07.2020,0,1,3,4
23.07.2020,0,4,4,8
24.07.2020,0,4,4,8
25.07.2020,0,4,6,10
26.07.2020,0,5,6,11
27.07.2020,0,6,5,11
28.07.2020,0,6,5,11
29.07.2020,0,6,7,13
30.07.2020,0,6,8,14
31.07.2020,1,5,8,14
01.08.2020,1,5,8,14
02.08.2020,1,5,8,14
03.08.2020,1,5,8,14
04.08.2020,1,5,8,14
05.08.2020,1,5,8,14
06.08.2020,1,5,8,14
07.08.2020,1,6,7,14
08.08.2020,1,6,7,14
09.08.2020,1,6,7,14
10.08.2020,1,6,7,14
11.08.2020,1,6,7,14
12.08.2020,1,6,7,14
13.08.2020,1,6,7,14
14.08.2020,1,6,7,14
15.08.2020,1,6,7,14
16.08.2020,1,6,7,14
17.08.2020,1,6,7,14
18.08.2020,1,6,7,14
19.08.2020,1,6,12,19
20.08.2020,2,5,10,17
21.08.2020,2,6,9,17
22.08.2020,3,5,7,15
23.08.2020,3,5,8,16
24.08.2020,3,5,8,16
25.08.2020,3,5,8,16
26.08.2020,3,5,6,14
27.08.2020,3,5,8,16
28.08.2020,3,6,9,18
29.08.2020,3,6,9,18
30.08.2020,3,6,9,18
31.08.2020,3,6,9,18
01.09.2020,3,6,11,20
02.09.2020,3,7,10,20
03.09.2020,2,8,10,20
04.09.2020,2,8,10,20
05.09.2020,2,8,10,20
06.09.2020,2,8,11,21
07.09.2020,2,8,11,21
08.09.2020,2,8,12,22
09.09.2020,2,9,12,23
10.09.2020,2,10,14,26
11.09.2020,2,11,16,29
12.09.2020,2,11,16,29
13.09.2020,2,11,17,30
14.09.2020,2,11,18,31
15.09.2020,2,10,20,32
16.09.2020,2,10,17,29
17.09.2020,2,10,17,29
18.09.2020,2,11,17,30
19.09.2020,3,10,17,30
20.09.2020,3,11,17,31
21.09.2020,3,11,17,31
22.09.2020,4,10,17,31
23.09.2020,4,10,20,34
24.09.2020,4,12,17,33
25.09.2020,3,12,16,31
26.09.2020,3,12,16,31
27.09.2020,3,12,16,31
28.09.2020,3,11,17,31
29.09.2020,3,11,16,30
30.09.2020,3,10,17,30
01.10.2020,3,11,18,32
02.10.2020,3,11,18,32
03.10.2020,3,11,18,32
04.10.2020,3,11,20,34
05.10.2020,3,13,18,34
06.10.2020,3,13,18,34
07.10.2020,3,14,17,34
08.10.2020,4,13,16,33
09.10.2020,4,14,14,32
10.10.2020,5,13,15,33
11.10.2020,4,13,15,32
12.10.2020,4,13,16,33
13.10.2020,4,13,16,33
14.10.2020,4,13,17,34
15.10.2020,4,14,16,34
16.10.2020,4,17,13,34
17.10.2020,5,17,13,35
18.10.2020,5,17,16,38
19.10.2020,5,18,19,42
20.10.2020,4,20,18,42
21.10.2020,5,19,17,41
22.10.2020,5,22,16,43
23.10.2020,4,22,17,43
24.10.2020,5,22,16,43
25.10.2020,5,23,15,43
26.10.2020,6,22,15,43
27.10.2020,6,22,16,44
28.10.2020,6,22,17,45
29.10.2020,5,21,17,43
30.10.2020,5,21,17,43
31.10.2020,5,21,17,43
01.11.2020,4,23,17,44
02.11.2020,5,21,17,43
03.11.2020,5,21,17,43
04.11.2020,5,20,16,41
05.11.2020,5,20,16,41
06.11.2020,5,21,14,40
07.11.2020,5,21,13,39
08.11.2020,5,21,12,38
09.11.2020,5,21,12,38
10.11.2020,5,21,12,38
11.11.2020,5,22,12,39
12.11.2020,5,22,12,39
13.11.2020,5,23,12,40
14.11.2020,5,22,11,38
15.11.2020,5,22,9,36
16.11.2020,4,20,9,33
17.11.2020,4,21,11,36
18.11.2020,4,21,11,36
19.11.2020,4,20,8,32
20.11.2020,4,21,7,32
21.11.2020,5,20,7,32
22.11.2020,4,21,7,32
23.11.2020,4,20,7,31
24.11.2020,4,21,5,30
25.11.2020,4,21,4,29
26.11.2020,4,21,4,29
27.11.2020,4,21,4,29
28.11.2020,4,21,5,30
29.11.2020,3,23,4,30
30.11.2020,4,22,5,31
01.12.2020,4,23,6,33
02.12.2020,4,23,6,33
03.12.2020,5,23,6,34
04.12.2020,5,22,7,34
05.12.2020,5,22,7,34
06.12.2020,5,22,6,33
07.12.2020,6,20,6,32
08.12.2020,5,21,8,34
09.12.2020,5,22,8,35
10.12.2020,6,19,9,34
11.12.2020,6,20,8,34
12.12.2020,6,20,8,34
13.12.2020,6,21,9,36
14.12.2020,6,22,10,38
15.12.2020,6,22,10,38
16.12.2020,6,22,9,37
17.12.2020,6,22,9,37
18.12.2020,6,23,11,40
19.12.2020,6,23,11,40
20.12.2020,5,25,11,41
21.12.2020,5,26,10,41
22.12.2020,5,26,10,41
23.12.2020,5,25,10,40
24.12.2020,5,24,11,40
25.12.2020,5,24,11,40
26.12.2020,5,24,10,39
27.12.2020,5,22,10,37
28.12.2020,5,21,11,37
29.12.2020,5,22,9,36
30.12.2020,5,20,9,34
31.12.2020,5,19,9,33
01.01.2021,5,19,9,33
02.01.2021,5,20,8,33
03.01.2021,5,19,8,32
04.01.2021,5,19,8,32
05.01.2021,5,18,7,30
06.01.2021,5,18,6,29
07.01.2021,5,19,4,28
08.01.2021,5,19,4,28
09.01.2021,6,18,5,29
10.01.2021,6,20,3,29
11.01.2021,5,20,1,26
12.01.2021,5,20,1,26
13.01.2021,5,20,1,26
14.01.2021,5,20,1,26
15.01.2021,5,20,1,26
16.01.2021,5,20,1,26
17.01.2021,5,18,1,24
18.01.2021,6,17,2,25
19.01.2021,6,17,4,27
20.01.2021,6,17,5,28
21.01.2021,6,17,5,28
22.01.2021,6,18,6,30
23.01.2021,6,18,6,30
24.01.2021,6,18,7,31
25.01.2021,6,18,9,33
26.01.2021,6,19,11,36
27.01.2021,6,20,11,37
28.01.2021,6,22,11,39
29.01.2021,6,22,13,41
30.01.2021,6,22,13,41
31.01.2021,6,24,13,43
01.02.2021,6,24,13,43
02.02.2021,6,24,13,43
03.02.2021,6,24,13,43
04.02.2021,6,23,15,44
05.02.2021,6,23,16,45
06.02.2021,6,24,16,46
07.02.2021,6,27,17,50
08.02.2021,6,26,17,49
09.02.2021,6,26,18,50
10.02.2021,6,26,18,50
11.02.2021,5,28,19,52
12.02.2021,5,29,18,52
13.02.2021,5,29,18,52
14.02.2021,5,29,18,52
15.02.2021,5,27,19,51
16.02.2021,5,28,15,48
17.02.2021,6,27,15,48
18.02.2021,6,28,13,47
19.02.2021,5,29,10,44
20.02.2021,4,30,11,45
21.02.2021,4,29,12,45
22.02.2021,4,28,12,44
23.02.2021,4,27,12,43
24.02.2021,3,29,12,44
25.02.2021,4,28,12,44
26.02.2021,4,26,11,41
27.02.2021,4,27,10,41
28.02.2021,4,27,9,40
01.03.2021,5,27,8,40
02.03.2021,5,26,8,39
03.03.2021,5,26,8,39
04.03.2021,5,26,8,39
05.03.2021,5,26,8,39
06.03.2021,4,26,6,36
07.03.2021,4,25,3,32
08.03.2021,4,25,3,32
09.03.2021,4,24,3,31
10.03.2021,5,23,3,31
11.03.2021,5,22,4,31
12.03.2021,5,22,4,31
13.03.2021,5,22,4,31
14.03.2021,5,22,4,31
15.03.2021,5,21,4,30
16.03.2021,6,19,6,31
17.03.2021,6,19,6,31
18.03.2021,6,19,6,31
19.03.2021,6,19,6,31
20.03.2021,6,17,6,29
21.03.2021,6,18,5,29
22.03.2021,6,18,5,29
23.03.2021,5,21,2,28
24.03.2021,4,21,2,27
25.03.2021,5,20,2,27
26.03.2021,5,19,3,27
27.03.2021,5,19,3,27
28.03.2021,5,18,3,26
29.03.2021,6,16,3,25
30.03.2021,5,17,3,25
31.03.2021,5,17,3,25
01.04.2021,6,16,3,25
02.04.2021,6,16,3,25
03.04.2021,5,17,4,26
04.04.2021,5,17,5,27
