uniswap,,,,
Date, Full Time, Part Time, One Time, Total
28.10.2017,0,0,1,1
29.10.2017,0,1,0,1
30.10.2017,0,1,0,1
31.10.2017,0,1,0,1
01.11.2017,0,1,0,1
02.11.2017,0,1,0,1
03.11.2017,0,1,0,1
04.11.2017,0,1,0,1
05.11.2017,0,1,0,1
06.11.2017,0,1,0,1
07.11.2017,0,1,0,1
08.11.2017,0,1,0,1
09.11.2017,0,1,0,1
10.11.2017,0,1,0,1
11.11.2017,0,1,0,1
12.11.2017,0,1,0,1
13.11.2017,0,1,0,1
14.11.2017,0,1,0,1
15.11.2017,0,1,0,1
16.11.2017,0,1,0,1
17.11.2017,0,1,0,1
18.11.2017,0,1,0,1
19.11.2017,0,1,0,1
20.11.2017,0,1,0,1
21.11.2017,0,1,0,1
22.11.2017,0,1,0,1
23.11.2017,0,1,0,1
24.11.2017,0,1,0,1
25.11.2017,0,1,0,1
26.11.2017,0,1,0,1
27.11.2017,0,1,0,1
28.11.2017,0,1,0,1
29.11.2017,0,1,0,1
30.11.2017,0,1,0,1
01.12.2017,0,1,0,1
02.12.2017,0,1,0,1
03.12.2017,0,1,0,1
04.12.2017,0,1,0,1
05.12.2017,0,1,0,1
06.12.2017,0,1,0,1
07.12.2017,0,1,0,1
08.12.2017,0,1,0,1
09.12.2017,0,1,0,1
10.12.2017,0,1,0,1
11.12.2017,0,1,0,1
12.12.2017,0,1,0,1
13.12.2017,0,1,0,1
14.12.2017,0,1,0,1
15.12.2017,0,1,0,1
16.12.2017,0,1,0,1
17.12.2017,0,1,0,1
18.12.2017,0,1,0,1
19.12.2017,0,1,0,1
20.12.2017,0,1,0,1
21.12.2017,0,1,0,1
22.12.2017,0,1,0,1
23.12.2017,0,1,0,1
24.12.2017,0,1,0,1
25.12.2017,0,1,0,1
26.12.2017,0,1,0,1
27.12.2017,0,1,0,1
28.12.2017,0,1,0,1
29.12.2017,0,1,0,1
30.12.2017,0,1,0,1
31.12.2017,0,1,0,1
01.01.2018,0,1,0,1
02.01.2018,0,1,0,1
03.01.2018,0,1,0,1
04.01.2018,0,1,0,1
05.01.2018,0,1,0,1
06.01.2018,0,1,0,1
07.01.2018,0,1,0,1
08.01.2018,0,1,0,1
09.01.2018,0,1,0,1
10.01.2018,0,1,0,1
11.01.2018,0,1,0,1
12.01.2018,0,1,0,1
13.01.2018,0,1,0,1
14.01.2018,0,1,1,2
15.01.2018,0,1,1,2
16.01.2018,0,1,1,2
17.01.2018,1,1,0,2
18.01.2018,1,1,1,3
19.01.2018,1,2,0,3
20.01.2018,1,2,0,3
21.01.2018,1,2,0,3
22.01.2018,1,2,0,3
23.01.2018,1,2,0,3
24.01.2018,1,2,0,3
25.01.2018,1,2,0,3
26.01.2018,1,2,0,3
27.01.2018,1,2,0,3
28.01.2018,1,2,0,3
29.01.2018,1,2,0,3
30.01.2018,1,2,0,3
31.01.2018,1,2,0,3
01.02.2018,1,2,0,3
02.02.2018,1,2,0,3
03.02.2018,1,2,0,3
04.02.2018,1,2,0,3
05.02.2018,1,2,0,3
06.02.2018,1,2,0,3
07.02.2018,1,2,0,3
08.02.2018,1,2,0,3
09.02.2018,1,2,0,3
10.02.2018,1,2,0,3
11.02.2018,1,2,0,3
12.02.2018,1,2,0,3
13.02.2018,1,2,0,3
14.02.2018,2,1,0,3
15.02.2018,2,1,0,3
16.02.2018,2,1,0,3
17.02.2018,2,1,0,3
18.02.2018,2,1,0,3
19.02.2018,2,1,0,3
20.02.2018,2,1,0,3
21.02.2018,2,1,0,3
22.02.2018,2,1,0,3
23.02.2018,2,0,0,2
24.02.2018,2,0,0,2
25.02.2018,2,0,0,2
26.02.2018,2,0,0,2
27.02.2018,2,0,0,2
28.02.2018,2,0,0,2
01.03.2018,2,0,0,2
02.03.2018,2,0,0,2
03.03.2018,2,0,0,2
04.03.2018,2,0,0,2
05.03.2018,2,0,0,2
06.03.2018,2,0,1,3
07.03.2018,2,1,0,3
08.03.2018,2,1,0,3
09.03.2018,2,1,0,3
10.03.2018,2,1,0,3
11.03.2018,2,1,1,4
12.03.2018,2,1,2,5
13.03.2018,2,1,2,5
14.03.2018,2,1,2,5
15.03.2018,2,1,2,5
16.03.2018,2,1,3,6
17.03.2018,2,1,3,6
18.03.2018,2,1,3,6
19.03.2018,2,1,3,6
20.03.2018,2,2,2,6
21.03.2018,2,2,2,6
22.03.2018,2,2,2,6
23.03.2018,2,3,1,6
24.03.2018,2,3,1,6
25.03.2018,2,3,1,6
26.03.2018,2,3,1,6
27.03.2018,2,3,1,6
28.03.2018,2,3,1,6
29.03.2018,2,3,1,6
30.03.2018,2,3,1,6
31.03.2018,2,3,1,6
01.04.2018,2,3,1,6
02.04.2018,2,3,1,6
03.04.2018,2,3,2,7
04.04.2018,2,3,2,7
05.04.2018,2,3,2,7
06.04.2018,2,3,2,7
07.04.2018,2,3,2,7
08.04.2018,2,3,2,7
09.04.2018,2,3,1,6
10.04.2018,2,3,1,6
11.04.2018,2,3,1,6
12.04.2018,2,3,1,6
13.04.2018,1,4,1,6
14.04.2018,1,4,1,6
15.04.2018,1,4,1,6
16.04.2018,1,4,1,6
17.04.2018,1,4,1,6
18.04.2018,1,4,1,6
19.04.2018,1,4,1,6
20.04.2018,2,2,1,5
21.04.2018,2,2,1,5
22.04.2018,2,2,1,5
23.04.2018,2,2,1,5
24.04.2018,2,2,1,5
25.04.2018,2,2,1,5
26.04.2018,2,2,1,5
27.04.2018,2,2,1,5
28.04.2018,2,2,1,5
29.04.2018,2,1,1,4
30.04.2018,2,1,1,4
01.05.2018,2,1,0,3
02.05.2018,2,1,0,3
03.05.2018,2,1,0,3
04.05.2018,2,1,0,3
05.05.2018,2,1,0,3
06.05.2018,2,1,0,3
07.05.2018,2,1,0,3
08.05.2018,2,1,0,3
09.05.2018,2,1,0,3
10.05.2018,2,1,0,3
11.05.2018,2,1,0,3
12.05.2018,2,1,0,3
13.05.2018,2,1,0,3
14.05.2018,2,1,0,3
15.05.2018,2,1,0,3
16.05.2018,2,1,0,3
17.05.2018,2,1,0,3
18.05.2018,2,1,0,3
19.05.2018,2,1,0,3
20.05.2018,2,1,0,3
21.05.2018,2,1,0,3
22.05.2018,2,1,0,3
23.05.2018,2,1,0,3
24.05.2018,2,1,0,3
25.05.2018,2,1,0,3
26.05.2018,2,1,0,3
27.05.2018,2,1,0,3
28.05.2018,2,1,0,3
29.05.2018,2,1,0,3
30.05.2018,2,0,0,2
31.05.2018,2,0,0,2
01.06.2018,2,0,0,2
02.06.2018,2,0,0,2
03.06.2018,2,0,0,2
04.06.2018,2,0,0,2
05.06.2018,2,0,0,2
06.06.2018,2,0,0,2
07.06.2018,2,0,0,2
08.06.2018,2,0,0,2
09.06.2018,2,0,0,2
10.06.2018,2,0,0,2
11.06.2018,2,0,0,2
12.06.2018,2,0,0,2
13.06.2018,2,0,0,2
14.06.2018,2,0,0,2
15.06.2018,2,0,0,2
16.06.2018,2,0,0,2
17.06.2018,2,0,0,2
18.06.2018,2,0,0,2
19.06.2018,2,0,0,2
20.06.2018,2,0,0,2
21.06.2018,2,0,0,2
22.06.2018,2,0,0,2
23.06.2018,2,0,0,2
24.06.2018,2,0,0,2
25.06.2018,2,0,0,2
26.06.2018,2,0,0,2
27.06.2018,2,0,0,2
28.06.2018,2,0,0,2
29.06.2018,2,0,0,2
30.06.2018,2,0,1,3
01.07.2018,2,0,1,3
02.07.2018,2,0,1,3
03.07.2018,2,0,1,3
04.07.2018,2,0,1,3
05.07.2018,2,0,1,3
06.07.2018,2,0,1,3
07.07.2018,2,0,1,3
08.07.2018,2,0,1,3
09.07.2018,2,0,1,3
10.07.2018,2,0,1,3
11.07.2018,2,0,1,3
12.07.2018,2,0,1,3
13.07.2018,2,0,1,3
14.07.2018,2,0,1,3
15.07.2018,2,0,1,3
16.07.2018,2,0,1,3
17.07.2018,2,0,1,3
18.07.2018,2,0,1,3
19.07.2018,2,0,1,3
20.07.2018,2,0,1,3
21.07.2018,2,0,1,3
22.07.2018,2,0,1,3
23.07.2018,2,0,1,3
24.07.2018,2,0,1,3
25.07.2018,2,0,1,3
26.07.2018,2,0,1,3
27.07.2018,2,0,1,3
28.07.2018,1,1,0,2
29.07.2018,1,1,0,2
30.07.2018,1,1,0,2
31.07.2018,1,1,0,2
01.08.2018,1,1,0,2
02.08.2018,1,1,0,2
03.08.2018,1,1,0,2
04.08.2018,1,1,0,2
05.08.2018,1,1,0,2
06.08.2018,1,1,0,2
07.08.2018,1,1,0,2
08.08.2018,1,1,0,2
09.08.2018,1,1,0,2
10.08.2018,1,1,0,2
11.08.2018,1,1,0,2
12.08.2018,1,1,0,2
13.08.2018,1,1,0,2
14.08.2018,1,1,0,2
15.08.2018,1,1,0,2
16.08.2018,1,1,0,2
17.08.2018,1,1,0,2
18.08.2018,1,1,0,2
19.08.2018,1,1,0,2
20.08.2018,1,1,0,2
21.08.2018,1,1,0,2
22.08.2018,1,1,0,2
23.08.2018,1,1,0,2
24.08.2018,1,1,0,2
25.08.2018,1,1,0,2
26.08.2018,1,1,0,2
27.08.2018,1,1,0,2
28.08.2018,1,1,0,2
29.08.2018,1,1,0,2
30.08.2018,1,1,0,2
31.08.2018,1,1,0,2
01.09.2018,1,1,0,2
02.09.2018,1,1,0,2
03.09.2018,1,1,0,2
04.09.2018,1,1,0,2
05.09.2018,1,1,0,2
06.09.2018,1,1,0,2
07.09.2018,1,1,0,2
08.09.2018,1,1,0,2
09.09.2018,1,1,0,2
10.09.2018,1,1,0,2
11.09.2018,1,1,1,3
12.09.2018,1,1,1,3
13.09.2018,1,1,1,3
14.09.2018,1,1,1,3
15.09.2018,2,0,1,3
16.09.2018,2,0,1,3
17.09.2018,1,1,1,3
18.09.2018,1,1,1,3
19.09.2018,2,0,1,3
20.09.2018,1,1,1,3
21.09.2018,1,1,1,3
22.09.2018,1,1,1,3
23.09.2018,1,1,1,3
24.09.2018,1,1,1,3
25.09.2018,1,1,1,3
26.09.2018,1,1,1,3
27.09.2018,1,1,1,3
28.09.2018,2,0,1,3
29.09.2018,2,0,1,3
30.09.2018,2,0,1,3
01.10.2018,2,0,1,3
02.10.2018,1,1,1,3
03.10.2018,1,1,1,3
04.10.2018,1,1,1,3
05.10.2018,2,0,1,3
06.10.2018,2,0,2,4
07.10.2018,2,1,1,4
08.10.2018,1,2,1,4
09.10.2018,1,2,0,3
10.10.2018,1,2,0,3
11.10.2018,1,2,0,3
12.10.2018,1,2,0,3
13.10.2018,2,1,1,4
14.10.2018,2,1,1,4
15.10.2018,2,1,1,4
16.10.2018,2,1,2,5
17.10.2018,2,2,1,5
18.10.2018,1,3,1,5
19.10.2018,1,3,1,5
20.10.2018,1,3,1,5
21.10.2018,1,3,1,5
22.10.2018,1,3,1,5
23.10.2018,2,2,1,5
24.10.2018,2,2,1,5
25.10.2018,2,2,1,5
26.10.2018,2,2,1,5
27.10.2018,2,2,2,6
28.10.2018,2,2,2,6
29.10.2018,2,2,3,7
30.10.2018,2,2,3,7
31.10.2018,2,2,3,7
01.11.2018,2,3,2,7
02.11.2018,2,3,2,7
03.11.2018,2,3,2,7
04.11.2018,3,2,2,7
05.11.2018,3,2,3,8
06.11.2018,3,2,3,8
07.11.2018,3,2,3,8
08.11.2018,3,2,3,8
09.11.2018,3,2,3,8
10.11.2018,3,2,2,7
11.11.2018,3,2,2,7
12.11.2018,3,2,2,7
13.11.2018,3,2,3,8
14.11.2018,4,1,3,8
15.11.2018,4,2,2,8
16.11.2018,4,2,2,8
17.11.2018,4,2,3,9
18.11.2018,4,2,3,9
19.11.2018,3,3,3,9
20.11.2018,3,3,3,9
21.11.2018,3,3,3,9
22.11.2018,3,3,3,9
23.11.2018,3,3,3,9
24.11.2018,3,3,3,9
25.11.2018,3,3,3,9
26.11.2018,3,3,3,9
27.11.2018,4,2,3,9
28.11.2018,4,2,3,9
29.11.2018,4,2,2,8
30.11.2018,4,2,2,8
01.12.2018,3,3,2,8
02.12.2018,4,2,2,8
03.12.2018,4,2,1,7
04.12.2018,4,2,1,7
05.12.2018,3,3,1,7
06.12.2018,3,3,1,7
07.12.2018,3,3,1,7
08.12.2018,3,3,1,7
09.12.2018,3,3,1,7
10.12.2018,2,2,2,6
11.12.2018,2,4,2,8
12.12.2018,3,3,2,8
13.12.2018,4,2,2,8
14.12.2018,4,2,2,8
15.12.2018,4,2,1,7
16.12.2018,3,3,1,7
17.12.2018,2,4,2,8
18.12.2018,2,4,2,8
19.12.2018,2,4,2,8
20.12.2018,2,4,2,8
21.12.2018,2,4,2,8
22.12.2018,2,4,2,8
23.12.2018,2,4,3,9
24.12.2018,2,4,3,9
25.12.2018,3,3,3,9
26.12.2018,3,4,2,9
27.12.2018,4,3,2,9
28.12.2018,5,2,2,9
29.12.2018,5,2,4,11
30.12.2018,5,3,3,11
31.12.2018,5,3,3,11
01.01.2019,5,3,3,11
02.01.2019,4,4,4,12
03.01.2019,4,4,4,12
04.01.2019,4,4,5,13
05.01.2019,3,6,4,13
06.01.2019,3,6,4,13
07.01.2019,3,6,5,14
08.01.2019,4,3,4,11
09.01.2019,4,4,3,11
10.01.2019,4,5,2,11
11.01.2019,4,5,2,11
12.01.2019,4,5,2,11
13.01.2019,4,5,2,11
14.01.2019,4,5,2,11
15.01.2019,4,5,2,11
16.01.2019,4,5,2,11
17.01.2019,3,6,2,11
18.01.2019,3,6,2,11
19.01.2019,3,6,2,11
20.01.2019,3,6,2,11
21.01.2019,3,6,2,11
22.01.2019,3,8,2,13
23.01.2019,4,7,2,13
24.01.2019,4,7,2,13
25.01.2019,5,6,2,13
26.01.2019,5,6,2,13
27.01.2019,5,6,5,16
28.01.2019,5,6,7,18
29.01.2019,5,7,7,19
30.01.2019,5,7,6,18
31.01.2019,5,7,6,18
01.02.2019,5,7,6,18
02.02.2019,5,7,6,18
03.02.2019,5,6,6,17
04.02.2019,5,6,6,17
05.02.2019,5,6,6,17
06.02.2019,5,6,7,18
07.02.2019,5,5,7,17
08.02.2019,5,4,8,17
09.02.2019,5,3,8,16
10.02.2019,5,3,8,16
11.02.2019,5,3,8,16
12.02.2019,5,3,8,16
13.02.2019,5,3,8,16
14.02.2019,4,4,8,16
15.02.2019,4,4,8,16
16.02.2019,4,4,8,16
17.02.2019,4,4,8,16
18.02.2019,4,4,8,16
19.02.2019,4,3,7,14
20.02.2019,4,2,7,13
21.02.2019,4,3,7,14
22.02.2019,4,3,7,14
23.02.2019,4,3,7,14
24.02.2019,4,3,4,11
25.02.2019,4,3,3,10
26.02.2019,4,2,2,8
27.02.2019,4,2,2,8
28.02.2019,4,2,3,9
01.03.2019,4,3,3,10
02.03.2019,4,3,3,10
03.03.2019,4,3,3,10
04.03.2019,4,3,3,10
05.03.2019,4,3,3,10
06.03.2019,4,3,3,10
07.03.2019,4,3,3,10
08.03.2019,5,2,2,9
09.03.2019,5,2,2,9
10.03.2019,5,2,2,9
11.03.2019,5,3,1,9
12.03.2019,5,3,1,9
13.03.2019,5,3,1,9
14.03.2019,4,5,1,10
15.03.2019,4,5,1,10
16.03.2019,4,5,2,11
17.03.2019,3,6,2,11
18.03.2019,3,6,2,11
19.03.2019,3,6,2,11
20.03.2019,3,6,2,11
21.03.2019,3,5,2,10
22.03.2019,3,5,2,10
23.03.2019,3,5,2,10
24.03.2019,4,4,2,10
25.03.2019,4,3,2,9
26.03.2019,4,3,2,9
27.03.2019,4,3,3,10
28.03.2019,4,3,2,9
29.03.2019,4,3,2,9
30.03.2019,4,4,2,10
31.03.2019,4,4,2,10
01.04.2019,4,3,2,9
02.04.2019,4,3,2,9
03.04.2019,4,3,2,9
04.04.2019,4,3,2,9
05.04.2019,4,3,3,10
06.04.2019,4,3,3,10
07.04.2019,4,3,3,10
08.04.2019,3,2,3,8
09.04.2019,2,3,3,8
10.04.2019,2,3,4,9
11.04.2019,2,3,3,8
12.04.2019,2,3,3,8
13.04.2019,2,3,2,7
14.04.2019,1,4,2,7
15.04.2019,1,4,2,7
16.04.2019,1,4,2,7
17.04.2019,1,4,2,7
18.04.2019,1,4,2,7
19.04.2019,1,4,2,7
20.04.2019,1,4,2,7
21.04.2019,1,4,2,7
22.04.2019,2,3,3,8
23.04.2019,2,3,3,8
24.04.2019,2,3,3,8
25.04.2019,1,5,3,9
26.04.2019,1,5,3,9
27.04.2019,1,3,3,7
28.04.2019,1,3,3,7
29.04.2019,1,3,3,7
30.04.2019,1,3,3,7
01.05.2019,1,3,3,7
02.05.2019,1,3,3,7
03.05.2019,2,2,3,7
04.05.2019,2,2,3,7
05.05.2019,2,2,3,7
06.05.2019,2,2,3,7
07.05.2019,2,2,3,7
08.05.2019,2,2,3,7
09.05.2019,1,4,2,7
10.05.2019,1,4,2,7
11.05.2019,1,4,2,7
12.05.2019,1,4,2,7
13.05.2019,1,5,3,9
14.05.2019,2,4,3,9
15.05.2019,2,5,2,9
16.05.2019,2,5,2,9
17.05.2019,2,5,2,9
18.05.2019,2,5,2,9
19.05.2019,2,5,2,9
20.05.2019,2,5,1,8
21.05.2019,2,5,1,8
22.05.2019,2,6,0,8
23.05.2019,1,5,1,7
24.05.2019,1,5,2,8
25.05.2019,1,6,2,9
26.05.2019,1,6,2,9
27.05.2019,1,6,2,9
28.05.2019,1,7,2,10
29.05.2019,1,7,2,10
30.05.2019,1,8,1,10
31.05.2019,1,8,1,10
01.06.2019,1,8,1,10
02.06.2019,1,8,1,10
03.06.2019,1,8,1,10
04.06.2019,1,8,1,10
05.06.2019,1,8,1,10
06.06.2019,1,7,2,10
07.06.2019,1,7,2,10
08.06.2019,1,7,2,10
09.06.2019,1,7,2,10
10.06.2019,1,6,2,9
11.06.2019,1,6,2,9
12.06.2019,2,5,2,9
13.06.2019,1,6,2,9
14.06.2019,1,6,3,10
15.06.2019,1,6,3,10
16.06.2019,1,6,3,10
17.06.2019,1,6,3,10
18.06.2019,1,6,3,10
19.06.2019,1,6,3,10
20.06.2019,1,6,3,10
21.06.2019,1,6,2,9
22.06.2019,1,5,2,8
23.06.2019,1,5,2,8
24.06.2019,1,5,2,8
25.06.2019,1,4,2,7
26.06.2019,1,4,2,7
27.06.2019,1,3,2,6
28.06.2019,1,3,2,6
29.06.2019,1,3,3,7
30.06.2019,1,3,3,7
01.07.2019,1,4,3,8
02.07.2019,2,4,3,9
03.07.2019,1,5,3,9
04.07.2019,1,4,3,8
05.07.2019,1,4,3,8
06.07.2019,1,4,3,8
07.07.2019,1,4,3,8
08.07.2019,1,4,3,8
09.07.2019,1,4,4,9
10.07.2019,1,4,4,9
11.07.2019,1,5,4,10
12.07.2019,1,5,3,9
13.07.2019,1,5,4,10
14.07.2019,1,5,4,10
15.07.2019,1,5,4,10
16.07.2019,1,5,4,10
17.07.2019,1,5,5,11
18.07.2019,1,5,5,11
19.07.2019,1,5,5,11
20.07.2019,1,5,5,11
21.07.2019,1,5,5,11
22.07.2019,1,6,5,12
23.07.2019,1,7,4,12
24.07.2019,1,7,5,13
25.07.2019,1,7,6,14
26.07.2019,1,7,7,15
27.07.2019,1,7,7,15
28.07.2019,1,7,7,15
29.07.2019,1,6,6,13
30.07.2019,1,6,6,13
31.07.2019,1,6,6,13
01.08.2019,1,6,6,13
02.08.2019,1,6,6,13
03.08.2019,1,6,6,13
04.08.2019,1,6,6,13
05.08.2019,1,6,6,13
06.08.2019,1,6,5,12
07.08.2019,1,6,6,13
08.08.2019,1,5,8,14
09.08.2019,1,5,8,14
10.08.2019,1,5,7,13
11.08.2019,1,5,7,13
12.08.2019,1,5,8,14
13.08.2019,1,5,8,14
14.08.2019,1,5,8,14
15.08.2019,1,5,8,14
16.08.2019,1,5,8,14
17.08.2019,1,5,8,14
18.08.2019,1,4,8,13
19.08.2019,1,4,7,12
20.08.2019,1,3,7,11
21.08.2019,1,3,6,10
22.08.2019,1,3,5,9
23.08.2019,1,3,4,8
24.08.2019,1,3,4,8
25.08.2019,1,3,4,8
26.08.2019,1,3,4,8
27.08.2019,1,3,4,8
28.08.2019,1,3,4,8
29.08.2019,1,3,4,8
30.08.2019,1,3,4,8
31.08.2019,1,3,4,8
01.09.2019,1,3,4,8
02.09.2019,1,3,4,8
03.09.2019,1,3,4,8
04.09.2019,1,3,3,7
05.09.2019,1,3,1,5
06.09.2019,2,2,2,6
07.09.2019,2,2,2,6
08.09.2019,2,2,2,6
09.09.2019,2,2,2,6
10.09.2019,1,2,2,5
11.09.2019,1,3,2,6
12.09.2019,1,3,2,6
13.09.2019,1,3,2,6
14.09.2019,1,3,2,6
15.09.2019,1,3,2,6
16.09.2019,1,3,2,6
17.09.2019,1,5,3,9
18.09.2019,1,6,2,9
19.09.2019,1,6,2,9
20.09.2019,1,6,2,9
21.09.2019,1,6,2,9
22.09.2019,1,6,2,9
23.09.2019,1,6,2,9
24.09.2019,1,6,2,9
25.09.2019,1,6,2,9
26.09.2019,1,6,3,10
27.09.2019,1,6,3,10
28.09.2019,1,6,3,10
29.09.2019,1,6,3,10
30.09.2019,1,6,3,10
01.10.2019,1,7,2,10
02.10.2019,1,7,2,10
03.10.2019,1,8,2,11
04.10.2019,2,7,1,10
05.10.2019,2,7,1,10
06.10.2019,2,7,1,10
07.10.2019,2,7,0,9
08.10.2019,1,8,0,9
09.10.2019,1,8,0,9
10.10.2019,1,8,0,9
