aptos,,,,
Date, Full Time, Part Time, One Time, Total
14.01.2019,0,0,1,1
15.01.2019,0,0,1,1
16.01.2019,0,0,1,1
17.01.2019,0,1,0,1
18.01.2019,0,1,0,1
19.01.2019,0,1,0,1
20.01.2019,0,1,0,1
21.01.2019,0,1,0,1
22.01.2019,0,1,0,1
23.01.2019,0,1,0,1
24.01.2019,0,1,0,1
25.01.2019,0,1,0,1
26.01.2019,0,1,0,1
27.01.2019,0,1,0,1
28.01.2019,0,1,0,1
29.01.2019,0,1,0,1
30.01.2019,0,1,0,1
31.01.2019,0,1,0,1
01.02.2019,0,1,0,1
02.02.2019,0,1,0,1
03.02.2019,0,1,0,1
04.02.2019,0,1,0,1
05.02.2019,0,1,0,1
06.02.2019,0,1,0,1
07.02.2019,0,1,0,1
08.02.2019,0,1,0,1
09.02.2019,0,1,0,1
10.02.2019,0,1,0,1
11.02.2019,0,1,0,1
12.02.2019,0,1,0,1
13.02.2019,0,1,0,1
08.03.2019,0,1,0,1
09.03.2019,0,1,0,1
10.03.2019,0,1,0,1
11.03.2019,0,1,0,1
12.03.2019,0,1,0,1
13.03.2019,0,1,0,1
14.03.2019,0,1,0,1
15.03.2019,0,1,0,1
16.03.2019,0,1,0,1
17.03.2019,0,1,0,1
18.03.2019,0,1,0,1
19.03.2019,0,1,0,1
20.03.2019,0,1,0,1
21.03.2019,0,1,0,1
22.03.2019,0,1,0,1
23.03.2019,0,1,0,1
24.03.2019,0,1,1,2
25.03.2019,0,1,1,2
26.03.2019,0,2,0,2
27.03.2019,0,2,0,2
28.03.2019,0,2,0,2
29.03.2019,0,2,0,2
30.03.2019,0,2,0,2
31.03.2019,0,2,0,2
01.04.2019,0,2,0,2
02.04.2019,0,2,0,2
03.04.2019,0,2,0,2
04.04.2019,0,2,0,2
05.04.2019,0,2,0,2
06.04.2019,0,2,0,2
07.04.2019,0,2,0,2
08.04.2019,0,2,0,2
09.04.2019,0,2,0,2
10.04.2019,0,2,0,2
11.04.2019,0,2,0,2
12.04.2019,0,2,0,2
13.04.2019,0,2,0,2
14.04.2019,0,2,0,2
15.04.2019,0,2,0,2
16.04.2019,0,2,0,2
17.04.2019,0,2,0,2
18.04.2019,0,2,0,2
19.04.2019,0,2,0,2
20.04.2019,0,2,0,2
21.04.2019,0,2,0,2
22.04.2019,0,2,1,3
23.04.2019,0,1,1,2
24.04.2019,0,1,1,2
25.04.2019,0,1,1,2
26.04.2019,0,1,1,2
27.04.2019,0,1,1,2
28.04.2019,0,1,1,2
29.04.2019,0,1,1,2
30.04.2019,0,1,1,2
01.05.2019,0,1,1,2
02.05.2019,0,1,1,2
03.05.2019,0,1,1,2
04.05.2019,0,1,1,2
05.05.2019,0,1,1,2
06.05.2019,0,1,1,2
07.05.2019,0,1,1,2
08.05.2019,0,1,1,2
09.05.2019,0,1,1,2
10.05.2019,0,1,1,2
11.05.2019,0,1,1,2
12.05.2019,0,1,1,2
13.05.2019,0,1,1,2
14.05.2019,0,1,1,2
15.05.2019,0,1,1,2
16.05.2019,0,1,1,2
17.05.2019,0,1,1,2
18.05.2019,0,1,1,2
19.05.2019,0,1,1,2
20.05.2019,0,1,0,1
21.05.2019,0,1,0,1
22.05.2019,0,1,0,1
23.05.2019,0,1,0,1
24.05.2019,0,1,0,1
25.05.2019,0,1,0,1
26.05.2019,0,1,0,1
27.05.2019,0,1,0,1
28.05.2019,0,1,0,1
29.05.2019,0,1,0,1
30.05.2019,0,1,0,1
31.05.2019,0,1,0,1
01.06.2019,0,1,0,1
02.06.2019,0,1,0,1
03.06.2019,0,1,0,1
04.06.2019,0,1,0,1
05.06.2019,0,1,0,1
06.06.2019,0,1,0,1
07.06.2019,0,1,0,1
08.06.2019,0,1,0,1
09.06.2019,0,1,0,1
10.06.2019,0,1,0,1
11.06.2019,0,1,0,1
12.06.2019,0,1,0,1
13.06.2019,0,1,0,1
14.06.2019,0,1,0,1
15.06.2019,0,1,0,1
16.06.2019,0,1,0,1
17.06.2019,0,1,0,1
18.06.2019,0,1,1,2
19.06.2019,0,1,1,2
20.06.2019,0,1,1,2
21.06.2019,0,1,1,2
22.06.2019,0,1,1,2
23.06.2019,0,1,1,2
24.06.2019,0,1,1,2
25.06.2019,0,1,1,2
26.06.2019,0,1,1,2
27.06.2019,0,1,1,2
28.06.2019,0,1,1,2
29.06.2019,0,1,1,2
30.06.2019,0,1,1,2
01.07.2019,0,1,1,2
02.07.2019,0,1,1,2
03.07.2019,0,1,1,2
04.07.2019,0,1,1,2
05.07.2019,0,1,1,2
06.07.2019,0,1,1,2
07.07.2019,0,1,1,2
08.07.2019,0,1,1,2
09.07.2019,0,1,1,2
10.07.2019,0,1,1,2
11.07.2019,0,1,1,2
12.07.2019,0,1,1,2
13.07.2019,0,1,1,2
14.07.2019,0,1,1,2
15.07.2019,0,1,1,2
16.07.2019,0,1,0,1
17.07.2019,0,1,0,1
18.07.2019,0,1,0,1
19.07.2019,0,1,0,1
20.07.2019,0,1,0,1
21.07.2019,0,1,0,1
22.07.2019,0,1,0,1
23.07.2019,0,1,0,1
24.07.2019,0,1,0,1
25.07.2019,0,1,0,1
26.07.2019,0,1,0,1
27.07.2019,0,1,0,1
28.07.2019,0,1,0,1
29.07.2019,0,1,0,1
30.07.2019,0,1,0,1
31.07.2019,0,1,0,1
01.08.2019,0,1,0,1
02.08.2019,0,1,0,1
03.08.2019,0,1,0,1
04.08.2019,0,1,0,1
05.08.2019,0,1,0,1
06.08.2019,0,1,0,1
07.08.2019,0,1,0,1
08.08.2019,0,1,0,1
09.08.2019,0,1,0,1
10.08.2019,0,1,0,1
11.08.2019,0,1,0,1
12.08.2019,0,1,0,1
13.08.2019,0,1,0,1
14.08.2019,0,1,0,1
15.08.2019,0,1,0,1
16.08.2019,0,1,1,2
17.08.2019,0,1,1,2
18.08.2019,0,1,1,2
19.08.2019,0,1,1,2
20.08.2019,0,1,1,2
21.08.2019,0,1,1,2
22.08.2019,0,1,1,2
23.08.2019,0,1,1,2
24.08.2019,0,1,1,2
25.08.2019,0,1,1,2
26.08.2019,0,2,0,2
27.08.2019,0,2,0,2
28.08.2019,0,2,0,2
29.08.2019,0,2,0,2
30.08.2019,0,2,0,2
31.08.2019,0,2,0,2
01.09.2019,0,2,0,2
02.09.2019,0,2,0,2
03.09.2019,0,2,0,2
04.09.2019,0,2,0,2
05.09.2019,0,2,0,2
06.09.2019,0,2,0,2
07.09.2019,0,2,0,2
08.09.2019,0,2,0,2
09.09.2019,0,2,0,2
10.09.2019,0,2,1,3
11.09.2019,0,3,1,4
12.09.2019,0,3,1,4
13.09.2019,0,3,1,4
14.09.2019,0,3,1,4
15.09.2019,0,3,1,4
16.09.2019,0,3,1,4
17.09.2019,0,3,1,4
18.09.2019,0,3,1,4
19.09.2019,0,3,1,4
20.09.2019,0,3,1,4
21.09.2019,0,3,1,4
22.09.2019,0,3,1,4
23.09.2019,1,2,1,4
24.09.2019,1,2,1,4
25.09.2019,1,2,1,4
26.09.2019,1,2,1,4
27.09.2019,1,2,1,4
28.09.2019,1,2,1,4
29.09.2019,1,2,1,4
30.09.2019,1,2,1,4
01.10.2019,1,2,2,5
02.10.2019,1,4,0,5
03.10.2019,1,4,0,5
04.10.2019,1,4,0,5
05.10.2019,1,4,0,5
06.10.2019,1,4,1,6
07.10.2019,1,5,1,7
08.10.2019,1,5,1,7
09.10.2019,1,5,1,7
10.10.2019,1,5,1,7
11.10.2019,1,5,2,8
12.10.2019,1,5,2,8
13.10.2019,1,5,2,8
14.10.2019,1,5,2,8
15.10.2019,1,5,2,8
16.10.2019,1,5,2,8
17.10.2019,1,5,2,8
18.10.2019,1,5,2,8
19.10.2019,1,5,2,8
20.10.2019,1,5,2,8
21.10.2019,1,5,2,8
22.10.2019,1,5,2,8
23.10.2019,1,5,4,10
24.10.2019,1,6,3,10
25.10.2019,1,8,1,10
26.10.2019,1,8,1,10
27.10.2019,1,8,1,10
28.10.2019,1,8,1,10
29.10.2019,1,8,1,10
30.10.2019,1,8,1,10
31.10.2019,1,8,1,10
01.11.2019,1,8,1,10
02.11.2019,1,8,1,10
03.11.2019,1,8,1,10
04.11.2019,1,8,1,10
05.11.2019,2,7,1,10
06.11.2019,2,7,1,10
07.11.2019,2,7,1,10
08.11.2019,2,7,1,10
09.11.2019,2,7,1,10
10.11.2019,2,7,1,10
11.11.2019,2,7,1,10
12.11.2019,2,7,1,10
13.11.2019,2,7,1,10
14.11.2019,2,7,1,10
15.11.2019,2,6,1,9
16.11.2019,2,6,1,9
17.11.2019,2,6,1,9
18.11.2019,2,6,1,9
19.11.2019,2,6,1,9
20.11.2019,2,6,1,9
21.11.2019,1,6,1,8
22.11.2019,1,5,1,7
23.11.2019,1,5,1,7
24.11.2019,1,5,1,7
25.11.2019,1,5,1,7
26.11.2019,1,5,1,7
27.11.2019,1,6,1,8
28.11.2019,1,5,1,7
29.11.2019,1,5,1,7
30.11.2019,1,5,1,7
01.12.2019,1,5,1,7
02.12.2019,1,5,1,7
03.12.2019,2,4,1,7
04.12.2019,2,4,1,7
05.12.2019,2,4,1,7
06.12.2019,2,4,0,6
07.12.2019,2,4,0,6
08.12.2019,1,3,0,4
09.12.2019,1,3,0,4
10.12.2019,1,3,0,4
11.12.2019,1,3,0,4
12.12.2019,1,3,0,4
13.12.2019,1,4,0,5
14.12.2019,1,4,0,5
15.12.2019,1,4,0,5
16.12.2019,1,4,0,5
17.12.2019,1,4,1,6
18.12.2019,1,4,1,6
19.12.2019,1,4,1,6
20.12.2019,1,5,0,6
21.12.2019,1,5,0,6
22.12.2019,1,5,0,6
23.12.2019,1,5,0,6
24.12.2019,1,5,0,6
25.12.2019,1,4,0,5
26.12.2019,1,3,0,4
27.12.2019,1,3,0,4
28.12.2019,1,3,0,4
29.12.2019,1,3,0,4
30.12.2019,1,3,0,4
31.12.2019,1,3,0,4
01.01.2020,1,3,0,4
02.01.2020,1,3,0,4
03.01.2020,1,3,0,4
04.01.2020,1,3,0,4
05.01.2020,1,3,0,4
06.01.2020,1,3,1,5
07.01.2020,1,3,1,5
08.01.2020,1,4,0,5
09.01.2020,1,4,2,7
10.01.2020,1,3,2,6
11.01.2020,1,3,2,6
12.01.2020,1,4,1,6
13.01.2020,1,5,1,7
14.01.2020,1,5,2,8
15.01.2020,1,5,2,8
16.01.2020,1,5,2,8
17.01.2020,1,5,2,8
18.01.2020,1,5,2,8
19.01.2020,1,5,2,8
20.01.2020,1,7,2,10
21.01.2020,1,7,2,10
22.01.2020,1,8,1,10
23.01.2020,0,8,2,10
24.01.2020,0,8,2,10
25.01.2020,0,8,2,10
26.01.2020,0,8,2,10
27.01.2020,0,8,2,10
28.01.2020,0,8,2,10
29.01.2020,0,8,2,10
30.01.2020,1,8,1,10
31.01.2020,1,8,1,10
01.02.2020,1,8,1,10
02.02.2020,1,8,1,10
03.02.2020,1,8,2,11
04.02.2020,1,8,2,11
05.02.2020,2,7,2,11
06.02.2020,3,6,2,11
07.02.2020,3,7,3,13
08.02.2020,3,7,3,13
09.02.2020,3,7,3,13
10.02.2020,1,9,3,13
11.02.2020,1,9,3,13
12.02.2020,1,9,3,13
13.02.2020,1,10,2,13
14.02.2020,3,8,2,13
15.02.2020,2,9,2,13
16.02.2020,2,9,2,13
17.02.2020,2,9,1,12
18.02.2020,2,9,1,12
19.02.2020,2,8,1,11
20.02.2020,2,8,2,12
21.02.2020,1,9,2,12
22.02.2020,1,9,2,12
23.02.2020,1,9,2,12
24.02.2020,2,8,2,12
25.02.2020,3,7,2,12
26.02.2020,3,7,2,12
27.02.2020,4,5,2,11
28.02.2020,4,5,2,11
29.02.2020,4,5,2,11
01.03.2020,4,5,2,11
02.03.2020,4,5,3,12
03.03.2020,4,6,2,12
04.03.2020,4,6,2,12
05.03.2020,5,5,2,12
06.03.2020,5,5,2,12
07.03.2020,5,5,2,12
08.03.2020,5,5,2,12
09.03.2020,4,6,3,13
10.03.2020,4,8,1,13
11.03.2020,5,7,1,13
12.03.2020,3,8,2,13
13.03.2020,4,7,2,13
14.03.2020,4,7,2,13
15.03.2020,5,6,2,13
16.03.2020,4,7,2,13
17.03.2020,4,7,2,13
18.03.2020,5,6,2,13
19.03.2020,4,7,2,13
20.03.2020,3,8,2,13
21.03.2020,3,8,2,13
22.03.2020,3,8,2,13
23.03.2020,3,8,3,14
24.03.2020,3,9,2,14
25.03.2020,3,9,2,14
26.03.2020,4,8,4,16
27.03.2020,4,9,3,16
28.03.2020,4,9,4,17
29.03.2020,4,9,4,17
30.03.2020,4,9,4,17
31.03.2020,5,8,4,17
01.04.2020,6,7,4,17
02.04.2020,6,7,5,18
03.04.2020,6,7,5,18
04.04.2020,6,8,4,18
05.04.2020,6,8,4,18
06.04.2020,6,8,5,19
07.04.2020,8,6,4,18
08.04.2020,8,7,3,18
09.04.2020,8,7,3,18
10.04.2020,7,8,3,18
11.04.2020,7,8,3,18
12.04.2020,8,7,3,18
13.04.2020,8,7,4,19
14.04.2020,8,7,5,20
15.04.2020,8,8,4,20
16.04.2020,8,9,3,20
17.04.2020,8,9,3,20
18.04.2020,8,9,3,20
19.04.2020,8,9,3,20
20.04.2020,8,9,3,20
21.04.2020,9,8,3,20
22.04.2020,8,9,3,20
23.04.2020,9,7,2,18
24.04.2020,9,6,2,17
25.04.2020,9,6,2,17
26.04.2020,9,6,2,17
27.04.2020,7,8,2,17
28.04.2020,8,7,2,17
29.04.2020,9,6,2,17
30.04.2020,9,6,1,16
01.05.2020,8,7,0,15
02.05.2020,8,7,0,15
03.05.2020,8,8,0,16
04.05.2020,8,8,0,16
05.05.2020,9,7,0,16
06.05.2020,9,7,0,16
07.05.2020,9,7,0,16
08.05.2020,9,8,0,17
09.05.2020,9,8,0,17
10.05.2020,9,8,0,17
11.05.2020,9,8,0,17
12.05.2020,9,8,0,17
13.05.2020,9,8,0,17
14.05.2020,9,8,0,17
15.05.2020,9,8,0,17
16.05.2020,9,8,0,17
17.05.2020,9,7,0,16
18.05.2020,9,7,0,16
19.05.2020,9,8,0,17
20.05.2020,8,9,1,18
21.05.2020,9,8,1,18
22.05.2020,9,8,2,19
23.05.2020,9,8,2,19
24.05.2020,9,8,2,19
25.05.2020,7,10,2,19
26.05.2020,8,9,2,19
27.05.2020,9,8,2,19
28.05.2020,9,8,2,19
29.05.2020,9,7,3,19
30.05.2020,9,7,3,19
31.05.2020,9,7,3,19
01.06.2020,9,7,3,19
02.06.2020,11,5,3,19
03.06.2020,11,5,3,19
04.06.2020,11,5,3,19
05.06.2020,10,5,3,18
06.06.2020,10,5,3,18
07.06.2020,10,5,3,18
08.06.2020,10,5,3,18
09.06.2020,9,6,3,18
10.06.2020,8,6,3,17
11.06.2020,8,6,4,18
12.06.2020,9,5,4,18
13.06.2020,9,5,4,18
14.06.2020,9,5,4,18
15.06.2020,8,6,4,18
16.06.2020,9,5,3,17
17.06.2020,8,6,2,16
18.06.2020,8,6,2,16
19.06.2020,8,6,1,15
20.06.2020,9,6,1,16
21.06.2020,9,6,1,16
22.06.2020,7,8,1,16
23.06.2020,8,7,2,17
24.06.2020,8,7,2,17
25.06.2020,8,7,2,17
26.06.2020,8,7,2,17
27.06.2020,8,7,2,17
28.06.2020,8,7,3,18
29.06.2020,7,8,3,18
30.06.2020,8,7,4,19
01.07.2020,8,8,3,19
02.07.2020,10,6,3,19
03.07.2020,9,7,3,19
04.07.2020,9,7,3,19
05.07.2020,9,7,3,19
06.07.2020,8,8,3,19
07.07.2020,7,9,3,19
08.07.2020,8,8,3,19
09.07.2020,8,8,2,18
10.07.2020,9,8,1,18
11.07.2020,9,8,1,18
12.07.2020,9,8,1,18
13.07.2020,7,10,2,19
14.07.2020,8,10,2,20
15.07.2020,8,10,2,20
16.07.2020,8,11,3,22
17.07.2020,8,13,1,22
18.07.2020,8,13,1,22
19.07.2020,8,13,1,22
20.07.2020,8,13,1,22
21.07.2020,8,14,0,22
22.07.2020,8,14,0,22
23.07.2020,7,14,0,21
24.07.2020,8,13,0,21
25.07.2020,8,13,0,21
26.07.2020,8,13,0,21
27.07.2020,8,12,0,20
28.07.2020,8,12,0,20
29.07.2020,8,12,0,20
30.07.2020,8,12,1,21
31.07.2020,7,13,1,21
01.08.2020,7,13,1,21
02.08.2020,7,13,1,21
03.08.2020,8,12,1,21
04.08.2020,9,12,1,22
05.08.2020,9,12,2,23
06.08.2020,9,11,2,22
07.08.2020,10,10,2,22
08.08.2020,10,10,2,22
09.08.2020,9,11,2,22
10.08.2020,8,12,2,22
11.08.2020,9,10,2,21
12.08.2020,9,10,2,21
13.08.2020,7,12,2,21
14.08.2020,7,13,2,22
15.08.2020,7,13,2,22
16.08.2020,7,13,3,23
17.08.2020,7,13,3,23
18.08.2020,7,13,3,23
19.08.2020,7,12,3,22
20.08.2020,7,12,3,22
21.08.2020,7,11,3,21
22.08.2020,7,11,3,21
23.08.2020,7,11,3,21
24.08.2020,8,10,3,21
25.08.2020,6,12,3,21
26.08.2020,6,12,3,21
27.08.2020,5,11,2,18
28.08.2020,5,11,2,18
29.08.2020,5,11,2,18
30.08.2020,5,11,2,18
31.08.2020,5,11,2,18
01.09.2020,5,10,2,17
02.09.2020,6,9,1,16
03.09.2020,7,7,1,15
04.09.2020,7,7,1,15
05.09.2020,7,7,1,15
06.09.2020,6,8,2,16
07.09.2020,6,8,2,16
08.09.2020,7,8,2,17
09.09.2020,6,10,3,19
10.09.2020,4,11,3,18
11.09.2020,5,10,3,18
12.09.2020,6,9,3,18
13.09.2020,6,10,2,18
14.09.2020,6,11,2,19
15.09.2020,7,11,3,21
16.09.2020,7,13,2,22
17.09.2020,7,13,2,22
18.09.2020,6,15,2,23
19.09.2020,6,15,2,23
20.09.2020,6,15,2,23
21.09.2020,6,15,2,23
22.09.2020,5,16,2,23
23.09.2020,5,16,2,23
24.09.2020,5,16,2,23
25.09.2020,5,16,2,23
26.09.2020,5,16,2,23
27.09.2020,5,16,2,23
28.09.2020,6,15,3,24
29.09.2020,6,15,3,24
30.09.2020,7,14,3,24
01.10.2020,6,14,3,23
02.10.2020,6,14,3,23
03.10.2020,6,14,3,23
04.10.2020,6,14,3,23
05.10.2020,6,14,4,24
06.10.2020,6,13,4,23
07.10.2020,6,14,4,24
08.10.2020,6,14,3,23
09.10.2020,6,14,3,23
10.10.2020,6,14,3,23
11.10.2020,6,14,3,23
12.10.2020,6,14,2,22
13.10.2020,6,14,1,21
14.10.2020,6,13,1,20
15.10.2020,5,14,1,20
16.10.2020,5,14,1,20
17.10.2020,5,14,1,20
18.10.2020,5,14,1,20
19.10.2020,5,14,1,20
20.10.2020,4,15,2,21
21.10.2020,4,15,2,21
22.10.2020,4,15,2,21
23.10.2020,4,15,2,21
24.10.2020,4,15,3,22
25.10.2020,4,15,3,22
26.10.2020,4,15,2,21
27.10.2020,4,15,2,21
28.10.2020,4,15,2,21
29.10.2020,5,14,2,21
30.10.2020,5,14,2,21
31.10.2020,5,14,2,21
01.11.2020,5,14,2,21
02.11.2020,4,14,2,20
03.11.2020,5,13,2,20
04.11.2020,5,12,2,19
05.11.2020,7,10,2,19
06.11.2020,8,9,2,19
07.11.2020,8,9,2,19
08.11.2020,8,9,2,19
09.11.2020,7,10,2,19
10.11.2020,7,10,2,19
11.11.2020,7,9,2,18
12.11.2020,7,9,2,18
13.11.2020,7,10,1,18
14.11.2020,7,10,1,18
15.11.2020,7,10,1,18
16.11.2020,7,10,1,18
17.11.2020,7,10,1,18
18.11.2020,7,10,2,19
19.11.2020,7,10,3,20
20.11.2020,7,10,3,20
21.11.2020,7,10,3,20
22.11.2020,7,9,3,19
23.11.2020,7,9,3,19
24.11.2020,7,9,4,20
25.11.2020,6,12,3,21
26.11.2020,7,10,3,20
27.11.2020,7,10,3,20
28.11.2020,7,10,3,20
29.11.2020,6,11,3,20
30.11.2020,6,10,3,19
01.12.2020,6,10,4,20
02.12.2020,5,11,4,20
03.12.2020,6,10,4,20
04.12.2020,6,11,3,20
05.12.2020,6,11,3,20
06.12.2020,6,11,3,20
07.12.2020,5,13,3,21
08.12.2020,5,15,3,23
09.12.2020,5,15,3,23
10.12.2020,5,15,3,23
11.12.2020,5,13,3,21
12.12.2020,5,13,3,21
13.12.2020,5,13,3,21
14.12.2020,5,14,2,21
15.12.2020,4,14,1,19
16.12.2020,4,14,0,18
17.12.2020,4,13,0,17
18.12.2020,4,12,0,16
19.12.2020,4,12,0,16
20.12.2020,4,12,0,16
21.12.2020,4,13,0,17
22.12.2020,4,13,3,20
23.12.2020,4,13,3,20
24.12.2020,4,13,3,20
25.12.2020,4,13,3,20
26.12.2020,4,13,3,20
27.12.2020,4,13,3,20
28.12.2020,4,13,3,20
29.12.2020,4,14,2,20
30.12.2020,5,12,3,20
31.12.2020,5,12,3,20
01.01.2021,5,11,3,19
02.01.2021,5,11,3,19
03.01.2021,4,12,3,19
04.01.2021,3,14,3,20
05.01.2021,3,13,2,18
06.01.2021,3,13,2,18
07.01.2021,3,13,3,19
08.01.2021,3,14,3,20
09.01.2021,3,14,3,20
10.01.2021,3,15,3,21
11.01.2021,3,15,4,22
12.01.2021,3,15,4,22
13.01.2021,3,14,4,21
14.01.2021,4,14,3,21
15.01.2021,3,14,3,20
16.01.2021,3,15,3,21
17.01.2021,3,15,3,21
18.01.2021,3,14,3,20
19.01.2021,3,13,2,18
20.01.2021,3,13,2,18
21.01.2021,3,14,2,19
22.01.2021,3,14,2,19
23.01.2021,3,14,2,19
24.01.2021,3,14,2,19
25.01.2021,4,13,3,20
26.01.2021,4,13,2,19
27.01.2021,4,13,2,19
28.01.2021,4,13,2,19
29.01.2021,4,13,2,19
30.01.2021,4,13,2,19
31.01.2021,4,13,2,19
01.02.2021,3,13,2,18
02.02.2021,3,14,2,19
03.02.2021,3,14,2,19
04.02.2021,3,12,2,17
05.02.2021,3,12,2,17
06.02.2021,3,12,2,17
07.02.2021,3,13,2,18
08.02.2021,3,13,2,18
09.02.2021,3,13,2,18
10.02.2021,2,12,3,17
11.02.2021,3,11,3,17
12.02.2021,3,11,3,17
13.02.2021,3,11,2,16
14.02.2021,4,10,2,16
15.02.2021,3,11,2,16
16.02.2021,3,11,2,16
17.02.2021,3,11,2,16
18.02.2021,4,9,2,15
19.02.2021,4,9,2,15
20.02.2021,3,10,2,15
21.02.2021,3,11,2,16
22.02.2021,4,12,0,16
23.02.2021,4,11,0,15
24.02.2021,4,11,0,15
25.02.2021,4,12,0,16
26.02.2021,4,13,1,18
27.02.2021,4,13,2,19
28.02.2021,4,13,2,19
01.03.2021,3,14,2,19
02.03.2021,3,13,2,18
03.03.2021,3,13,2,18
04.03.2021,3,14,2,19
05.03.2021,3,14,2,19
06.03.2021,3,14,2,19
07.03.2021,3,14,2,19
08.03.2021,3,14,3,20
09.03.2021,3,15,2,20
10.03.2021,2,16,2,20
11.03.2021,2,16,2,20
12.03.2021,2,16,2,20
13.03.2021,2,16,2,20
14.03.2021,3,15,2,20
15.03.2021,2,16,2,20
16.03.2021,2,16,2,20
17.03.2021,2,16,2,20
18.03.2021,4,14,2,20
19.03.2021,4,14,3,21
20.03.2021,3,15,3,21
21.03.2021,3,16,3,22
22.03.2021,4,13,3,20
23.03.2021,6,11,3,20
24.03.2021,5,12,4,21
25.03.2021,5,12,3,20
26.03.2021,5,12,2,19
27.03.2021,6,11,1,18
28.03.2021,6,11,1,18
